latitud,longitud,property_surface_total,property_surface_covered
-34.5563589125,-58.4566434847,59.0,56.0
-34.5925791456,-58.4087947931,34.0,33.0
-34.6382313,-58.4326332,277.0,275.0
-34.596719,-58.438109,37.0,37.0
-34.5769553,-58.4398077,106.0,106.0
-34.6253271,-58.4138724,34.0,31.0
-34.6143779227,-58.4300351143,50.0,47.0
-34.6282465,-58.4844109,45.0,42.0
-34.636862,-58.44327,74.0,74.0
-34.5944935,-58.4028992,27.0,27.0
-34.5960517,-58.4277245,89.0,76.0
-34.5871662,-58.4071575,43.0,38.0
-34.5686391,-58.4571868,53.0,51.0
-34.5979153,-58.4138865,44.0,41.0
-34.5669872,-58.4889639,106.0,90.0
-34.5722960771,-58.4407907724,150.0,130.0
-34.5850296586,-58.4045863152,63.0,60.0
-34.6211168,-58.4018927,46.0,42.0
-34.5924903,-58.4080803,61.0,53.0
-34.6539409,-58.4167634,42.0,42.0
-34.5760225,-58.4483554,34.0,30.0
-34.6325083,-58.5159339,60.0,55.0
-34.578523,-58.4249553,145.0,140.0
-34.6269093,-58.3974489,60.0,54.0
-34.5564452,-58.4621777,80.0,76.0
-34.6194465,-58.464043,46.0,39.0
-34.5851293,-58.4037897,41.0,39.0
-34.6119933,-58.4131337,45.0,40.0
-34.6083,-58.3712,128.0,128.0
-34.5879762383,-58.4121336021,150.0,141.0
-34.547206,-58.473324,61.0,53.0
-34.5731348,-58.4798384,70.0,64.0
-34.586973,-58.452802,90.0,75.0
-34.573855,-58.42234154,41.0,39.0
-34.544465,-58.4813288,51.0,47.0
-34.578475,-58.5019456,35.0,30.0
-34.6221757,-58.4420161,50.0,47.0
-34.5974321,-58.4417524,55.0,50.0
-34.629736,-58.400445,233.0,105.0
-34.5846553,-58.4150131,157.0,130.0
-34.6468416,-58.4963019,76.0,67.0
-34.5950282,-58.3973789,55.0,52.0
-34.6010192,-58.4185173,36.0,32.0
-34.5902615,-58.4087078,38.0,32.0
-34.5927705,-58.3790362,47.0,43.0
-34.603433916,-58.4258996878,59.0,53.0
-34.5993907,-58.412292,48.0,41.0
-34.5799642356,-58.4081204772,117.0,110.0
-34.6052061,-58.4630162,48.0,43.0
-34.6156294,-58.4588293,122.0,105.0
-34.5595588,-58.4598871,25.0,25.0
-34.563745,-58.4669234,170.0,170.0
-34.6011256,-58.4965218,60.0,60.0
-34.5851301,-58.4054521,95.0,50.0
-34.581577,-58.4738583,100.0,100.0
-34.5851266,-58.4140832,50.0,50.0
-34.5667503,-58.4359251,176.0,176.0
-34.6134779,-58.4359553,47.0,43.0
-34.6107470435,-58.4803962708,64.0,41.0
-34.6044676,-58.4147628,111.0,101.0
-34.5592897,-58.4781133,106.0,50.0
-34.5562788406,-58.4625067688,40.0,38.0
-34.621775171,-58.4424805641,32.0,32.0
-34.5742468,-58.4598435,53.0,53.0
-34.5911819,-58.3786205,233.0,215.0
-34.5763541,-58.4962171,65.0,62.0
-34.5645475,-58.4570008,35.0,35.0
-34.5978248,-58.3769826,26.0,26.0
-34.6063344,-58.4320148,64.0,37.0
-34.6137862,-58.3760622,38.0,38.0
-34.5700093,-58.432207,145.0,120.0
-34.5851641,-58.4210092,31.0,26.0
-34.5943767,-58.3828344,35.0,35.0
-34.6193622,-58.3975592,94.0,86.0
-34.6251619,-58.3727177,74.0,44.0
-34.5780649,-58.4926557,30.0,30.0
-34.5621868,-58.4700056,47.0,40.0
-34.5412501,-58.4729664,94.0,77.0
-34.6380854,-58.4422547,55.0,47.0
-34.6178651,-58.4332011,142.0,131.0
-34.6192612,-58.485249,64.0,64.0
-34.6262741,-58.5246347,236.0,111.0
-34.6065318,-58.4120944,38.0,38.0
